"Name","Id","Mark","La","Tut","Genr","DropF","DropL","Data"
"Likbez po diskretnoj matematike (3 gorba)",91,4.8,"ru","Omel'chenko","M",                    1,0,"18329;17941;17618;11182;!!7373;5275;5396;5016;4106;3776;3808;!3770;3470;3382;3281;3110;2885;!4208;4095;4071;1026;3515;3420;!!2703;2495;2509;2262;2541;!3470;3447;2904;2930;2540;2749;2357;2218;849;!2852;2249;2071;2004;2353;!!11604;10954;10145;8629;8853;8311;!7914;7369;6845;5874;5884;5007;!5541;5297;5345;5268;5272;!5135;4653;2081;3997;3189;2975;!!3551;3582;3422;3332;3334;3271;3162;1454;!2459;2058;3268;2867;2830;2841;!2683;2548;!2500;1917;1544;1970;2142;!!1959;1946;1818;1716;1539;1747;1704;!2048;2042;1876;1641;1458;!4030;3763;3666;1630;3172;896;!!3543;3285;1039;!1370;390;1255;1189;1084;!2457;2137;2215;1902;2232;!!2411;2070;1995;2000;!2043;1845;2035;1943;1931;1888;!1714;1679;1797;1772;!1733;1731;1689;1657;1532;!!"

"Osnovy perechislitel'noj kombinatoriki (2 gorba)",125,5,"ru","Omel'chenko","M",               0,0,"18351;17963;17639;11200;!!7383;5281;5401;5022;4112;3780;3812;!3775;3473;3385;3284;3113;2888;!4213;4100;4076;1029;3520;3425;!!2705;2497;2510;2263;2542;!3474;3450;2907;2933;2542;2751;2358;2221;849;!2858;2254;2074;2007;2357;!!11611;10961;10151;8634;8858;8316;!7919;7374;6851;5878;5889;5010;!5545;5301;5349;5272;5276;!5139;4656;2083;4000;3193;2977;!!3552;3583;3423;3334;3336;3272;3163;1454;!2460;2059;3268;2867;2830;2841;!2684;2549;!2500;1917;1544;1970;2142;!!1959;1946;1818;1716;1540;1748;1705;!2049;2043;1877;1642;1458;!4033;3765;3668;1630;3172;896;!!3543;3285;1039;!1370;390;1255;1189;1084;!2457;2137;2215;1902;2232;!!2412;2071;1996;2001;!2044;1846;2036;1943;1931;1889;!1715;1679;1798;1774;!1735;1733;1690;1657;1532;!!"

"Osnovy teorii grafov (2 gorba)",126,5,"ru","Omel'chenko","M",                                0,0,"!11611;10962;10152;8634;8858;8316;!7919;7374;6851;5878;5889;5010;!5545;5301;5349;5272;5276;!5139;4656;2083;4000;3193;2977;!!3552;3583;3423;3334;3336;3272;3163;1454;!2460;2059;3268;2867;2830;2841;!2684;2549;!2500;1917;1544;1970;2142;!!6901;6763;6411;4765;5473;5254;!4496;3919;3539;3785;3399;2740;3089;!3000;2540;2872;2812;!!4033;3765;3668;1630;3172;896;!3543;3285;1039;!2457;2137;2215;1902;2232;!!2412;2071;1996;2001;!2044;1846;2036;1943;1931;1889;!1715;1679;1798;1774;!1735;1733;1690;1657;1532;!!"

"OPR-2020 (week activity)",001,NA,"ru","Bondariev","P",         2,0,"50;!200;!212;!197;!193;!139;!175;!165;!174;!148;!161;!147;!105;!95;!76;!50;!"

"OPR-2021 (week activity)",002,NA,"ru","Bondariev","P",                          3,1,"31;!162;!138;!203;!172;!163;!148;!132;!140;!159;!131;!103;!56;!11;!"

"OOP-2020 (week activity)",003,NA,"ru","Cherepanova?","P",      0,0,"150;!102;!127;!122;!141;!98;!130;!127;!119;!157;!114;!111;!73;!67;!52;!"

"OOP-2021 (week activity)",004,NA,"ru","Cherepanova?","P",                                       0,0,"140;!127;!139;!68;!94;!67;!81;!49;!96;!84;!80;!32;!"


"OPR-2021 (total lect readings)",005,NA,"ru","Bondariev","P",                    0,0,"221;!225;!226;!222;!219;!217;!218;!219;!216;!219;!216;!212;!207;!210;!205;!202;!174;!174;!178;!180;!162;!159;!148;!170;!147;!144;!149;!107;!125;!136;!127;!128;!115;!118;!088;!092;!056;!068;!"

"OOP-2021 (problem solving)",006,NA,"ru","Cherepanova?","P",                                       0,0,"!152;!154;!149;!156;!132;!102;!95;!125;!132;!117;!124;!126;!123;!116;!71;!94;!51;!74;!68;!59;!44;!63;!85;!82;!55;!67;!82;!71;!36;!63;!54;!68;!62;!48;!65;!56;!26;!70;!53;!21;!43;!33;!30;!30;!12;!32;!38;!18;!16;!26;!12;!23;!28;!21;!15;!11;!5;!17;!10;!24;!22;!10;!10;!5;!7;!5;!3;!4;!4;!8;!1;!3;!9;!6;!2;!3;!3;!5;!10;!1;!10;!9;!6;!8;!4;!3;!3;!3;!12;!12;!11;!"


"Test 1",11111,9,"","","",                              0,0,"1000;100;!100;900;!800;750;!700;!600;!500;!"
"Test 2",11111,9,"","","",                              0,0,"1000;100;!!!100;900;!800;750;!!!700;!600;!500;!!!!!!!!"
